expID,ligand,base,solvent,cone angle,TEP,calc P shift,pKa,Pauling ionic radii,Hansen-dD,Hansen-dP,Hansen-dH,objectives
232,7,6,2,165.4550225,2228.284751,-7.6658,12.375,133,17.4,13.7,11.3,
233,8,6,2,184.5942422,2234.942905,-10.0173,12.375,133,17.4,13.7,11.3,
234,9,6,2,172.55,2232.06,-76.7384,12.375,133,17.4,13.7,11.3,
235,10,6,2,165.5,2225.59,-10.3996,12.375,133,17.4,13.7,11.3,
236,11,6,2,174.3600174,2210.257593,8.0093,12.375,133,17.4,13.7,11.3,
237,12,6,2,185.3,2206.2,66.1445,12.375,133,17.4,13.7,11.3,
238,13,6,2,171.3953578,2213.980043,-29.2681,12.375,133,17.4,13.7,11.3,
239,14,6,2,120.02,2219.32,-63.3,12.375,133,17.4,13.7,11.3,
240,15,6,2,165.353392,2215.967354,-19.1672,12.375,133,17.4,13.7,11.3,
241,1,7,2,165.87,2223.37,-5.7906,4.756,133,17.4,13.7,11.3,
242,2,7,2,166.8903697,2218.319819,-10.6026,4.756,133,17.4,13.7,11.3,
243,3,7,2,172.5642436,2217.825997,-8.6556,4.756,133,17.4,13.7,11.3,-2.837644671287144
244,4,7,2,211.3485433,2210.78491,-35.7969,4.756,133,17.4,13.7,11.3,
245,5,7,2,174.6629756,2218.794147,-5.7884,4.756,133,17.4,13.7,11.3,
246,6,7,2,166.26,2224.63,-9.8472,4.756,133,17.4,13.7,11.3,
247,7,7,2,165.4550225,2228.284751,-7.6658,4.756,133,17.4,13.7,11.3,
248,8,7,2,184.5942422,2234.942905,-10.0173,4.756,133,17.4,13.7,11.3,
249,9,7,2,172.55,2232.06,-76.7384,4.756,133,17.4,13.7,11.3,
250,10,7,2,165.5,2225.59,-10.3996,4.756,133,17.4,13.7,11.3,
251,11,7,2,174.3600174,2210.257593,8.0093,4.756,133,17.4,13.7,11.3,
252,12,7,2,185.3,2206.2,66.1445,4.756,133,17.4,13.7,11.3,
253,13,7,2,171.3953578,2213.980043,-29.2681,4.756,133,17.4,13.7,11.3,
254,14,7,2,120.02,2219.32,-63.3,4.756,133,17.4,13.7,11.3,
255,15,7,2,165.353392,2215.967354,-19.1672,4.756,133,17.4,13.7,11.3,
256,1,8,2,165.87,2223.37,-5.7906,10.329,169,17.4,13.7,11.3,-2.0280492910675263
257,2,8,2,166.8903697,2218.319819,-10.6026,10.329,169,17.4,13.7,11.3,
258,3,8,2,172.5642436,2217.825997,-8.6556,10.329,169,17.4,13.7,11.3,
259,4,8,2,211.3485433,2210.78491,-35.7969,10.329,169,17.4,13.7,11.3,
260,5,8,2,174.6629756,2218.794147,-5.7884,10.329,169,17.4,13.7,11.3,
261,6,8,2,166.26,2224.63,-9.8472,10.329,169,17.4,13.7,11.3,
262,7,8,2,165.4550225,2228.284751,-7.6658,10.329,169,17.4,13.7,11.3,
263,8,8,2,184.5942422,2234.942905,-10.0173,10.329,169,17.4,13.7,11.3,
264,9,8,2,172.55,2232.06,-76.7384,10.329,169,17.4,13.7,11.3,
265,10,8,2,165.5,2225.59,-10.3996,10.329,169,17.4,13.7,11.3,
266,11,8,2,174.3600174,2210.257593,8.0093,10.329,169,17.4,13.7,11.3,
267,12,8,2,185.3,2206.2,66.1445,10.329,169,17.4,13.7,11.3,
268,13,8,2,171.3953578,2213.980043,-29.2681,10.329,169,17.4,13.7,11.3,
269,14,8,2,120.02,2219.32,-63.3,10.329,169,17.4,13.7,11.3,
270,15,8,2,165.353392,2215.967354,-19.1672,10.329,169,17.4,13.7,11.3,
271,1,9,2,165.87,2223.37,-5.7906,3.17,169,17.4,13.7,11.3,
272,2,9,2,166.8903697,2218.319819,-10.6026,3.17,169,17.4,13.7,11.3,
273,3,9,2,172.5642436,2217.825997,-8.6556,3.17,169,17.4,13.7,11.3,
274,4,9,2,211.3485433,2210.78491,-35.7969,3.17,169,17.4,13.7,11.3,
275,5,9,2,174.6629756,2218.794147,-5.7884,3.17,169,17.4,13.7,11.3,
276,6,9,2,166.26,2224.63,-9.8472,3.17,169,17.4,13.7,11.3,
277,7,9,2,165.4550225,2228.284751,-7.6658,3.17,169,17.4,13.7,11.3,
278,8,9,2,184.5942422,2234.942905,-10.0173,3.17,169,17.4,13.7,11.3,-3.161313431268041
279,9,9,2,172.55,2232.06,-76.7384,3.17,169,17.4,13.7,11.3,-2.853518875975723
280,10,9,2,165.5,2225.59,-10.3996,3.17,169,17.4,13.7,11.3,
281,11,9,2,174.3600174,2210.257593,8.0093,3.17,169,17.4,13.7,11.3,
282,12,9,2,185.3,2206.2,66.1445,3.17,169,17.4,13.7,11.3,
283,13,9,2,171.3953578,2213.980043,-29.2681,3.17,169,17.4,13.7,11.3,
284,14,9,2,120.02,2219.32,-63.3,3.17,169,17.4,13.7,11.3,
285,15,9,2,165.353392,2215.967354,-19.1672,3.17,169,17.4,13.7,11.3,
286,1,10,2,165.87,2223.37,-5.7906,13.997,322,17.4,13.7,11.3,
287,2,10,2,166.8903697,2218.319819,-10.6026,13.997,322,17.4,13.7,11.3,
288,3,10,2,172.5642436,2217.825997,-8.6556,13.997,322,17.4,13.7,11.3,
289,4,10,2,211.3485433,2210.78491,-35.7969,13.997,322,17.4,13.7,11.3,
290,5,10,2,174.6629756,2218.794147,-5.7884,13.997,322,17.4,13.7,11.3,
291,6,10,2,166.26,2224.63,-9.8472,13.997,322,17.4,13.7,11.3,
292,7,10,2,165.4550225,2228.284751,-7.6658,13.997,322,17.4,13.7,11.3,
293,8,10,2,184.5942422,2234.942905,-10.0173,13.997,322,17.4,13.7,11.3,
294,9,10,2,172.55,2232.06,-76.7384,13.997,322,17.4,13.7,11.3,-2.349125574324207
295,10,10,2,165.5,2225.59,-10.3996,13.997,322,17.4,13.7,11.3,-2.596470867574428
296,11,10,2,174.3600174,2210.257593,8.0093,13.997,322,17.4,13.7,11.3,
297,12,10,2,185.3,2206.2,66.1445,13.997,322,17.4,13.7,11.3,
298,13,10,2,171.3953578,2213.980043,-29.2681,13.997,322,17.4,13.7,11.3,
299,14,10,2,120.02,2219.32,-63.3,13.997,322,17.4,13.7,11.3,-4.02762885133542
